hCoV-19/USA/CruiseA-12/2020,EPI_ISL_413617,2020-02-20
hCoV-19/USA/CruiseA-13/2020,EPI_ISL_413618,2020-02-20
hCoV-19/USA/CruiseA-14/2020,EPI_ISL_413619,2020-02-25
hCoV-19/Shandong/LY008/2020,EPI_ISL_414941,2020-01-30
hCoV-19/Shandong/LY007/2020,EPI_ISL_414940,2020-01-25
hCoV-19/USA/CruiseA-5/2020,EPI_ISL_413610,2020-02-21
hCoV-19/USA/CruiseA-6/2020,EPI_ISL_413611,2020-02-21
hCoV-19/USA/CruiseA-7/2020,EPI_ISL_413612,2020-02-17
hCoV-19/Finland/FIN03032020A/2020,EPI_ISL_413602,2020-03-03
hCoV-19/Finland/FIN03032020B/2020,EPI_ISL_413603,2020-03-03
hCoV-19/Finland/FIN03032020C/2020,EPI_ISL_413604,2020-03-03
hCoV-19/Shandong/LY003/2020,EPI_ISL_414936,2020-01-23
hCoV-19/USA/CruiseA-1/2020,EPI_ISL_413606,2020-02-17
hCoV-19/Shandong/LY005/2020,EPI_ISL_414938,2020-01-24
hCoV-19/USA/CruiseA-2/2020,EPI_ISL_413607,2020-02-18
hCoV-19/Shandong/LY004/2020,EPI_ISL_414937,2020-01-26
hCoV-19/USA/CruiseA-3/2020,EPI_ISL_413608,2020-02-18
hCoV-19/USA/CruiseA-4/2020,EPI_ISL_413609,2020-02-21
hCoV-19/USA/WA15-UW11/2020,EPI_ISL_413650,2020-03-05
hCoV-19/USA/WA16-UW12/2020,EPI_ISL_413651,2020-03-05
hCoV-19/USA/WA17-UW13/2020,EPI_ISL_413652,2020-03-05
hCoV-19/USA/WA18-UW14/2020,EPI_ISL_413653,2020-03-05
hCoV-19/Portugal/CV62/2020,EPI_ISL_413647,2020-03-01
hCoV-19/Portugal/CV63/2020,EPI_ISL_413648,2020-03-01
hCoV-19/USA/WA14-UW10/2020,EPI_ISL_413649,2020-03-05
hCoV-19/USA/AZ1/2020,EPI_ISL_406223,2020-01-22
